number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,state
0,2.931744337081909,2026-06-30 13:42:30.817598,2026-06-30 13:42:33.725083,0 days 00:00:02.907485,euclidean,81,COMPLETE
1,2.959967613220215,2026-06-30 13:42:33.725301,2026-06-30 13:42:36.862011,0 days 00:00:03.136710,euclidean,124,COMPLETE
2,2.602590560913086,2026-06-30 13:42:36.862307,2026-06-30 13:42:39.599684,0 days 00:00:02.737377,euclidean,21,COMPLETE
3,4.85195255279541,2026-06-30 13:42:39.599894,2026-06-30 13:43:04.076734,0 days 00:00:24.476840,manhattan,145,COMPLETE
4,3.4730606079101562,2026-06-30 13:43:04.076937,2026-06-30 13:43:07.293920,0 days 00:00:03.216983,euclidean,168,COMPLETE
5,3.6131672859191895,2026-06-30 13:43:07.294152,2026-06-30 13:43:31.953241,0 days 00:00:24.659089,manhattan,45,COMPLETE
6,3.853983163833618,2026-06-30 13:43:31.953557,2026-06-30 13:43:56.979314,0 days 00:00:25.025757,manhattan,92,COMPLETE
7,3.503997564315796,2026-06-30 13:43:56.979731,2026-06-30 13:44:21.870286,0 days 00:00:24.890555,manhattan,36,COMPLETE
8,2.900861978530884,2026-06-30 13:44:21.870508,2026-06-30 13:44:24.995241,0 days 00:00:03.124733,euclidean,97,COMPLETE
9,2.885437250137329,2026-06-30 13:44:24.995493,2026-06-30 13:44:28.086222,0 days 00:00:03.090729,euclidean,108,COMPLETE
